alpha_beta,track,split,metric,value
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,VALID,Accuracy,0.9420074966345513
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,VALID,MAE,0.09149429195028891
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,Pearson,0.8003275729305049
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,Spearman,0.6642102605542887
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,AUC,0.9038690481499645
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,Accuracy,0.9123885827480908
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,VALID,MAE,0.1101760750520553
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,VALID,Pearson,0.7969824764869322
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,VALID,Spearman,0.6025387402882514
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,VALID,AUC,0.9080125692125238
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,VALID,Accuracy,0.9212956448452226
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,VALID,MAE,0.1057659232371269
"a=1,b=1",GSM5652243_Pancreas-Acinar-Z000000QX,VALID,Pearson,0.7662223811283156
"a=1,b=1",GSM5652243_Pancreas-Acinar-Z000000QX,VALID,Spearman,0.717090635242948
"a=1,b=1",GSM5652243_Pancreas-Acinar-Z000000QX,VALID,AUC,0.8874592170984069
"a=1,b=1",GSM5652243_Pancreas-Acinar-Z000000QX,VALID,Accuracy,0.8536333157732416
"a=1,b=1",GSM5652243_Pancreas-Acinar-Z000000QX,VALID,MAE,0.1395562773856007
"a=1,b=1",GSM5652247_Pancreas-Delta-Z00000451,VALID,Pearson,0.7941059862704212
"a=1,b=1",GSM5652247_Pancreas-Delta-Z00000451,VALID,Spearman,0.6347229636874065
"a=1,b=1",GSM5652247_Pancreas-Delta-Z00000451,VALID,AUC,0.9063456219686516
"a=1,b=1",GSM5652247_Pancreas-Delta-Z00000451,VALID,Accuracy,0.9185494310927498
"a=1,b=1",GSM5652247_Pancreas-Delta-Z00000451,VALID,MAE,0.1134595130634821
"a=1,b=1",GSM5652250_Pancreas-Beta-Z00000452,VALID,Pearson,0.7930256118068836
"a=1,b=1",GSM5652250_Pancreas-Beta-Z00000452,VALID,Spearman,0.6267528470428878
"a=1,b=1",GSM5652250_Pancreas-Beta-Z00000452,VALID,AUC,0.9038380535708875
"a=1,b=1",GSM5652250_Pancreas-Beta-Z00000452,VALID,Accuracy,0.92286218489388
"a=1,b=1",GSM5652250_Pancreas-Beta-Z00000452,VALID,MAE,0.1083278261206487
"a=1,b=1",GSM5652253_Pancreas-Alpha-Z00000453,VALID,Pearson,0.7946318994916912
"a=1,b=1",GSM5652253_Pancreas-Alpha-Z00000453,VALID,Spearman,0.6484027159671473
"a=1,b=1",GSM5652253_Pancreas-Alpha-Z00000453,VALID,AUC,0.9035438467496854
"a=1,b=1",GSM5652253_Pancreas-Alpha-Z00000453,VALID,Accuracy,0.9179881961621984
"a=1,b=1",GSM5652253_Pancreas-Alpha-Z00000453,VALID,MAE,0.1098531192938014
"a=1,b=1",GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,Pearson,0.8056030527847857
"a=1,b=1",GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,Spearman,0.6069395638471966
"a=1,b=1",GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,AUC,0.9085545883138064
"a=1,b=1",GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,Accuracy,0.9263060323310309
"a=1,b=1",GSM5652264_Thyroid-Epithelial-Z0000042S,VALID,MAE,0.1018790155998004
"a=1,b=1",GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,Pearson,0.7981482922541601
"a=1,b=1",GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,Spearman,0.6360814535920029
"a=1,b=1",GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,AUC,0.9104613302616382
"a=1,b=1",GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,Accuracy,0.9110591136103459
"a=1,b=1",GSM5652267_Fallopian-Epithelial-Z000000Q7,VALID,MAE,0.1107872459296637
"a=1,b=1",GSM5652270_Ovary-Epithelial-Z000000QT,VALID,Pearson,0.7464859811100655
"a=1,b=1",GSM5652270_Ovary-Epithelial-Z000000QT,VALID,Spearman,0.620633297198888
"a=1,b=1",GSM5652270_Ovary-Epithelial-Z000000QT,VALID,AUC,0.8864140179867496
"a=1,b=1",GSM5652270_Ovary-Epithelial-Z000000QT,VALID,Accuracy,0.8702397051611657
"a=1,b=1",GSM5652270_Ovary-Epithelial-Z000000QT,VALID,MAE,0.1461124829126671
"a=1,b=1",GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,Pearson,0.7901359567190344
"a=1,b=1",GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,Spearman,0.7418483313920375
"a=1,b=1",GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,AUC,0.8812110906391453
"a=1,b=1",GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,Accuracy,0.8246183001658681
"a=1,b=1",GSM5652274_Bone_marrow-Erythrocyte_progenitors-Z000000RF,VALID,MAE,0.1047178858097345
"a=1,b=1",GSM5652277_Blood-T-CD3-Z000000TV,VALID,Pearson,0.8079764313989038
"a=1,b=1",GSM5652277_Blood-T-CD3-Z000000TV,VALID,Spearman,0.6976529138241399
"a=1,b=1",GSM5652277_Blood-T-CD3-Z000000TV,VALID,AUC,0.9037739310341214
"a=1,b=1",GSM5652277_Blood-T-CD3-Z000000TV,VALID,Accuracy,0.9196410879742587
"a=1,b=1",GSM5652277_Blood-T-CD3-Z000000TV,VALID,MAE,0.0999104633036124
"a=1,b=1",GSM5652299_Blood-NK-Z000000TM,VALID,Pearson,0.8101400204153338
"a=1,b=1",GSM5652299_Blood-NK-Z000000TM,VALID,Spearman,0.6186064780862728
"a=1,b=1",GSM5652299_Blood-NK-Z000000TM,VALID,AUC,0.9050480760153177
"a=1,b=1",GSM5652299_Blood-NK-Z000000TM,VALID,Accuracy,0.9368279619587924
"a=1,b=1",GSM5652299_Blood-NK-Z000000TM,VALID,MAE,0.09159880229340135
"a=1,b=1",GSM5652302_Blood-Monocytes-Z000000TP,VALID,Pearson,0.8047539271013331
"a=1,b=1",GSM5652302_Blood-Monocytes-Z000000TP,VALID,Spearman,0.596656758845203
"a=1,b=1",GSM5652302_Blood-Monocytes-Z000000TP,VALID,AUC,0.9109669005799554
"a=1,b=1",GSM5652302_Blood-Monocytes-Z000000TP,VALID,Accuracy,0.9333514260227745
"a=1,b=1",GSM5652302_Blood-Monocytes-Z000000TP,VALID,MAE,0.1002978885180921
"a=1,b=1",GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,Pearson,0.8063553701179877
"a=1,b=1",GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,Spearman,0.6235857715224228
"a=1,b=1",GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,AUC,0.9097717092150215
"a=1,b=1",GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,Accuracy,0.9317126253840174
"a=1,b=1",GSM5652313_Blood-Granulocytes-Z000000TZ,VALID,MAE,0.09740158229305387
"a=1,b=1",GSM5652317_Blood-B-Z000000UB,VALID,Pearson,0.7987089542348847
"a=1,b=1",GSM5652317_Blood-B-Z000000UB,VALID,Spearman,0.6691885327638074
"a=1,b=1",GSM5652317_Blood-B-Z000000UB,VALID,AUC,0.9002920874519726
"a=1,b=1",GSM5652317_Blood-B-Z000000UB,VALID,Accuracy,0.9244209955386814
"a=1,b=1",GSM5652317_Blood-B-Z000000UB,VALID,MAE,0.1027573288175525
"a=1,b=1",GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,Pearson,0.802326540051009
"a=1,b=1",GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,Spearman,0.7010518166071443
"a=1,b=1",GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,AUC,0.9060323449666873
"a=1,b=1",GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,Accuracy,0.9059874869068002
"a=1,b=1",GSM5652321_Epidermal-Keratinocytes-Z00000424,VALID,MAE,0.1097636991999656
"a=1,b=1",GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,Pearson,0.7935527131991774
"a=1,b=1",GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,Spearman,0.7166014637498094
"a=1,b=1",GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,AUC,0.9024640416016143
"a=1,b=1",GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,Accuracy,0.8783654883856856
"a=1,b=1",GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,VALID,MAE,0.1241596849773797
"a=1,b=1",GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,Pearson,0.8068396948300123
"a=1,b=1",GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,Spearman,0.6657884249279449
"a=1,b=1",GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,AUC,0.9115366651540842
"a=1,b=1",GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,Accuracy,0.9093279818706356
"a=1,b=1",GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,VALID,MAE,0.1096171308155329
"a=1,b=1",GSM5652338_Prostate-Epithelial-Z000000RV,VALID,Pearson,0.8116615449334357
"a=1,b=1",GSM5652338_Prostate-Epithelial-Z000000RV,VALID,Spearman,0.6890411997762672
"a=1,b=1",GSM5652338_Prostate-Epithelial-Z000000RV,VALID,AUC,0.9149351619902478
"a=1,b=1",GSM5652338_Prostate-Epithelial-Z000000RV,VALID,Accuracy,0.9120362111527686
"a=1,b=1",GSM5652338_Prostate-Epithelial-Z000000RV,VALID,MAE,0.1060342462835005
"a=1,b=1",GSM5652342_Bladder-Epithelial-Z000000QM,VALID,Pearson,0.7889641030609162
"a=1,b=1",GSM5652342_Bladder-Epithelial-Z000000QM,VALID,Spearman,0.6878022146958968
"a=1,b=1",GSM5652342_Bladder-Epithelial-Z000000QM,VALID,AUC,0.90565048197179
"a=1,b=1",GSM5652342_Bladder-Epithelial-Z000000QM,VALID,Accuracy,0.8905735032569349
"a=1,b=1",GSM5652342_Bladder-Epithelial-Z000000QM,VALID,MAE,0.1233488846354627
"a=1,b=1",GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,Pearson,0.8093488751971131
"a=1,b=1",GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,Spearman,0.6280533195104896
"a=1,b=1",GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,AUC,0.9152928074566726
"a=1,b=1",GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,Accuracy,0.91802984672822
"a=1,b=1",GSM5652347_Breast-Luminal-Epithelial-Z000000V2,VALID,MAE,0.1042640106860977
"a=1,b=1",GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,Pearson,0.7969908623974281
"a=1,b=1",GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,Spearman,0.611173491313964
"a=1,b=1",GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,AUC,0.9107213847118161
"a=1,b=1",GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,Accuracy,0.9211688680006723
"a=1,b=1",GSM5652350_Breast-Basal-Epithelial-Z000000V6,VALID,MAE,0.1067100671183097
"a=1,b=1",GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,Pearson,0.8184342997992793
"a=1,b=1",GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,Spearman,0.714860521318746
"a=1,b=1",GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,AUC,0.915161713215498
"a=1,b=1",GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,Accuracy,0.9120189869581096
"a=1,b=1",GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,VALID,MAE,0.1039000117844517
"a=1,b=1",GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,Pearson,0.8004450413109497
"a=1,b=1",GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,Spearman,0.6266511542311722
"a=1,b=1",GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,AUC,0.9113528639691532
"a=1,b=1",GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,Accuracy,0.9135667947345216
"a=1,b=1",GSM5652358_Gallbladder-Epithelial-Z00000432,VALID,MAE,0.1121981711928435
"a=1,b=1",GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,Pearson,0.8016212328754797
"a=1,b=1",GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,Spearman,0.7161222190891542
"a=1,b=1",GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,AUC,0.9077626729497996
"a=1,b=1",GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,Accuracy,0.8970387680304159
"a=1,b=1",GSM5652359_Gastric-fundus-Epithelial-Z000000RX,VALID,MAE,0.1157632938723124
"a=1,b=1",GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,Pearson,0.7941055501425384
"a=1,b=1",GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,Spearman,0.6615064584606517
"a=1,b=1",GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,AUC,0.9091230892327798
"a=1,b=1",GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,Accuracy,0.9094596856374344
"a=1,b=1",GSM5652370_Colon-Right-Epithelial-Z000000V0,VALID,MAE,0.1119810340425866
"a=1,b=1",GSM5652378_Small-int-Epithelial-Z0000042V,VALID,Pearson,0.7798505545798171
"a=1,b=1",GSM5652378_Small-int-Epithelial-Z0000042V,VALID,Spearman,0.6494860795445031
"a=1,b=1",GSM5652378_Small-int-Epithelial-Z0000042V,VALID,AUC,0.9054717187443926
"a=1,b=1",GSM5652378_Small-int-Epithelial-Z0000042V,VALID,Accuracy,0.9019687827561326
"a=1,b=1",GSM5652378_Small-int-Epithelial-Z0000042V,VALID,MAE,0.1178834585902481
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,TEST,Pearson,0.8238145644750896
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,TEST,Spearman,0.7198387727904803
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,TEST,AUC,0.9121570260886716
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,TEST,Accuracy,0.910528234796834
"a=1,b=1",GSM5652176_Adipocytes-Z000000T7,TEST,MAE,0.1041867195807247
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,TEST,Pearson,0.794306946766044
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,TEST,Spearman,0.7174659681060588
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,TEST,AUC,0.9011867099194151
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,TEST,Accuracy,0.8846433057536944
"a=1,b=1",GSM5652179_Aorta-Endothel-Z00000422,TEST,MAE,0.1202983873263971
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,Pearson,0.804105126142574
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,Spearman,0.6430583180851678
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,AUC,0.9095319957786772
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,Accuracy,0.9174465464677259
"a=1,b=1",GSM5652189_Kidney-Tubular-Endothel-Z0000042R,TEST,MAE,0.1082286848438214
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,Pearson,0.818833414038782
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,Spearman,0.7299331832576944
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,AUC,0.9062564101794068
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,Accuracy,0.9084969935849739
"a=1,b=1",GSM5652198_Colon-Fibroblasts-Z0000042A,TEST,MAE,0.1019812125486202
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,Pearson,0.737650768116045
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,Spearman,0.7118741066927605
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,AUC,0.8663495691362639
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,Accuracy,0.7813542914381947
"a=1,b=1",GSM5652200_Heart-Fibroblasts-Z0000043R,TEST,MAE,0.1673836165540102
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,Pearson,0.7941892285817492
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,Spearman,0.713680116115291
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,AUC,0.8984188667269807
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,Accuracy,0.8857190522512619
"a=1,b=1",GSM5652204_Dermal-Fibroblasts-Z00000423,TEST,MAE,0.118448784433386
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,TEST,Pearson,0.8083983710734949
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,TEST,Spearman,0.7037910761007031
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,TEST,AUC,0.8998130578468772
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,TEST,Accuracy,0.905377363246786
"a=1,b=1",GSM5652205_Skeletal-Muscle-Z00000427,TEST,MAE,0.1076908667471172
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,Pearson,0.7720917922313211
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,Spearman,0.7341385350636701
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,AUC,0.8807901591345129
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,Accuracy,0.8173030097405446
"a=1,b=1",GSM5652207_Aorta-Smooth-Muscle-Z0000041U,TEST,MAE,0.1368641504799189
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,Pearson,0.7168442561871055
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,Spearman,0.5255346455028639
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,AUC,0.8669708666474043
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,Accuracy,0.8897438343374228
"a=1,b=1",GSM5652215_Heart-Cardiomyocyte-Z0000044P,TEST,MAE,0.1553320004540131
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,Pearson,0.7798800043372968
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,Spearman,0.7412493396781945
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,AUC,0.888922777055123
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,Accuracy,0.8389557261956293
"a=1,b=1",GSM5652218_Bone-Osteoblasts-Z0000042Z,TEST,MAE,0.1374233353502629
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,TEST,Pearson,0.811546147050823
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,TEST,Spearman,0.5920995845660589
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,TEST,AUC,0.914287416946508
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,TEST,Accuracy,0.927996921612508
"a=1,b=1",GSM5652219_Oligodendrocytes-Z000000TK,TEST,MAE,0.09971766487348935
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,TEST,Pearson,0.8299263474685828
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,TEST,Spearman,0.62731299276851
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,TEST,AUC,0.9173305362224948
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,TEST,Accuracy,0.9428596275145283
"a=1,b=1",GSM5652223_Cortex-Neuron-Z000000TF,TEST,MAE,0.09185080600153768
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,Pearson,0.7933121575167513
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,Spearman,0.6764785331327237
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,AUC,0.9002807933040525
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,Accuracy,0.9031732137039414
"a=1,b=1",GSM5652233_Liver-Hepatocytes-Z000000R3,TEST,MAE,0.1143323773644797
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,TEST,Pearson,0.794988324992636
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,TEST,Spearman,0.6243504418293493
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,TEST,AUC,0.9070573686560054
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,TEST,Accuracy,0.9183645063316229
"a=1,b=1",GSM5652239_Pancreas-Duct-Z0000043T,TEST,MAE,0.1073179313402927
