chr,model,cell,corr,mse,count
chr4,iDNA-ABT,Aorta-Smooth-Muscle,0.2535938242,0.07750801316,1460807
chr5,iDNA-ABT,Aorta-Smooth-Muscle,0.2739006344,0.08161945676,1483193
chr6,iDNA-ABT,Aorta-Smooth-Muscle,0.2880851613,0.08223027275,1477925
chr7,iDNA-ABT,Aorta-Smooth-Muscle,0.2801408712,0.08076756787,1546997
chr8,iDNA-ABT,Aorta-Smooth-Muscle,0.2734506387,0.08196730283,1284774
chr9,iDNA-ABT,Aorta-Smooth-Muscle,0.3191130006,0.08324672965,1184567
chrX,iDNA-ABT,Aorta-Smooth-Muscle,0.2152864263,0.08709435383,1134492
chr1,iDNA-ABT,Bladder-Epithelial,0.5057642262,0.08245176449,2264328
chr10,iDNA-ABT,Bladder-Epithelial,0.4693420346,0.07774725659,1345632
chr11,iDNA-ABT,Bladder-Epithelial,0.4682760607,0.08480336163,1287559
chr12,iDNA-ABT,Bladder-Epithelial,0.4677988813,0.08011993807,1278712
chr13,iDNA-ABT,Bladder-Epithelial,0.4554285246,0.07277168406,802162
chr14,iDNA-ABT,Bladder-Epithelial,0.4973932196,0.07961110034,852505
chr15,iDNA-ABT,Bladder-Epithelial,0.5117027208,0.07862109589,847373
chr16,iDNA-ABT,Bladder-Epithelial,0.478342092,0.08192439212,1077400
chr17,iDNA-ABT,Bladder-Epithelial,0.516584812,0.08768982736,1163563
chr18,iDNA-ABT,Bladder-Epithelial,0.4235340512,0.07533141201,685212
chr19,iDNA-ABT,Bladder-Epithelial,0.4837345275,0.0974606718,1042900
chr2,iDNA-ABT,Bladder-Epithelial,0.4787326812,0.07458414216,2148301
chr20,iDNA-ABT,Bladder-Epithelial,0.4894621499,0.08251972401,736760
chr21,iDNA-ABT,Bladder-Epithelial,0.4345357424,0.07931004294,380119
chr22,iDNA-ABT,Bladder-Epithelial,0.4893313456,0.08349462728,585117
chr3,iDNA-ABT,Bladder-Epithelial,0.4850464171,0.07355279765,1629713
chr4,iDNA-ABT,Bladder-Epithelial,0.4622253733,0.07239801306,1459458
chr5,iDNA-ABT,Bladder-Epithelial,0.4813856614,0.07450012365,1484111
chr6,iDNA-ABT,Bladder-Epithelial,0.4752454013,0.07905930706,1476070
chr7,iDNA-ABT,Bladder-Epithelial,0.4602573714,0.07596145754,1549614
chr8,iDNA-ABT,Bladder-Epithelial,0.4693005916,0.07548032599,1284274
chr9,iDNA-ABT,Bladder-Epithelial,0.4809541004,0.07993018892,1184418
chrX,iDNA-ABT,Bladder-Epithelial,0.4469714407,0.07532500643,1134630
chr1,iDNA-ABT,Blood-B,0.4683309381,0.0754622684,2275518
chr10,iDNA-ABT,Blood-B,0.4456853209,0.06855352088,1349724
chr11,iDNA-ABT,Blood-B,0.4350883714,0.07743822288,1294689
chr12,iDNA-ABT,Blood-B,0.4388090694,0.07294540984,1284207
chr13,iDNA-ABT,Blood-B,0.4028822243,0.06185747802,804016
chr14,iDNA-ABT,Blood-B,0.4459939203,0.07410723558,853884
chr15,iDNA-ABT,Blood-B,0.4714698359,0.07324863121,851538
chr16,iDNA-ABT,Blood-B,0.4344384707,0.07586313479,1082281
chr17,iDNA-ABT,Blood-B,0.4847755539,0.08520313939,1170054
chr18,iDNA-ABT,Blood-B,0.4196596204,0.06264897679,690259
chr19,iDNA-ABT,Blood-B,0.4291500367,0.09861846027,1046614
chr2,iDNA-ABT,Blood-B,0.4487828097,0.06604085384,2154824
chr20,iDNA-ABT,Blood-B,0.4533362296,0.0754588993,741525
chr21,iDNA-ABT,Blood-B,0.3759471304,0.07066822563,384212
chr22,iDNA-ABT,Blood-B,0.4401703542,0.07770455153,587812
chr3,iDNA-ABT,Blood-B,0.4499902216,0.0644326756,1633769
chr4,iDNA-ABT,Blood-B,0.4114398575,0.06297264928,1465199
chr5,iDNA-ABT,Blood-B,0.4331902209,0.06659315441,1488600
chr6,iDNA-ABT,Blood-B,0.4324683219,0.07221067287,1480557
chr7,iDNA-ABT,Blood-B,0.421228232,0.06749274326,1557606
chr8,iDNA-ABT,Blood-B,0.42810029,0.06562101941,1290133
chr9,iDNA-ABT,Blood-B,0.4557848652,0.07176598878,1194463
chrX,iDNA-ABT,Blood-B,0.3946396839,0.06544112083,1140212
chr1,iDNA-ABT,Blood-Granulocytes,0.5307917474,0.0693141262,2263426
chr10,iDNA-ABT,Blood-Granulocytes,0.5022847167,0.06402156956,1344606
chr11,iDNA-ABT,Blood-Granulocytes,0.498213738,0.07075165404,1287502
chr12,iDNA-ABT,Blood-Granulocytes,0.4933652071,0.06830169991,1276832
chr13,iDNA-ABT,Blood-Granulocytes,0.477213782,0.05593752481,801761
chr14,iDNA-ABT,Blood-Granulocytes,0.5202812582,0.06613428825,851139
chr15,iDNA-ABT,Blood-Granulocytes,0.5339316629,0.06705261289,845906
chr16,iDNA-ABT,Blood-Granulocytes,0.4956741021,0.07161420613,1075960
chr17,iDNA-ABT,Blood-Granulocytes,0.5383243108,0.08010690608,1161902
chr18,iDNA-ABT,Blood-Granulocytes,0.4586391186,0.05941069389,684701
chr19,iDNA-ABT,Blood-Granulocytes,0.4987966341,0.09225199664,1041190
chr2,iDNA-ABT,Blood-Granulocytes,0.5043430612,0.06136574476,2145551
chr20,iDNA-ABT,Blood-Granulocytes,0.5095426396,0.07080347755,737147
chr21,iDNA-ABT,Blood-Granulocytes,0.4481999326,0.06618714725,379320
chr22,iDNA-ABT,Blood-Granulocytes,0.4991603196,0.07388483163,582860
chr3,iDNA-ABT,Blood-Granulocytes,0.5069992648,0.05905161224,1629332
chr4,iDNA-ABT,Blood-Granulocytes,0.4828818566,0.05576844844,1460804
chr5,iDNA-ABT,Blood-Granulocytes,0.5063044554,0.06018612078,1482927
chr6,iDNA-ABT,Blood-Granulocytes,0.4978327761,0.06556814699,1477313
chr7,iDNA-ABT,Blood-Granulocytes,0.4857757222,0.06281768952,1547993
chr8,iDNA-ABT,Blood-Granulocytes,0.4966130097,0.05978336432,1283420
chr9,iDNA-ABT,Blood-Granulocytes,0.5110195344,0.06725816502,1180661
chrX,iDNA-ABT,Blood-Granulocytes,0.3950032223,0.04588305007,1136842
chr1,iDNA-ABT,Blood-Monocytes,0.4336630062,0.0803455173,2261141
chr10,iDNA-ABT,Blood-Monocytes,0.4220332507,0.07197661756,1343197
chr11,iDNA-ABT,Blood-Monocytes,0.409607175,0.07995271579,1286378
chr12,iDNA-ABT,Blood-Monocytes,0.4081583951,0.0768992292,1275876
chr13,iDNA-ABT,Blood-Monocytes,0.3909119296,0.06265858454,801271
chr14,iDNA-ABT,Blood-Monocytes,0.4172691175,0.07633382813,850686
chr15,iDNA-ABT,Blood-Monocytes,0.4436203181,0.07707144041,844897
chr16,iDNA-ABT,Blood-Monocytes,0.4125777721,0.07989680774,1074290
chr17,iDNA-ABT,Blood-Monocytes,0.4483990453,0.09259561708,1160355
chr18,iDNA-ABT,Blood-Monocytes,0.4134951432,0.06329552142,683439
chr19,iDNA-ABT,Blood-Monocytes,0.3966793683,0.1054594892,1040491
chr2,iDNA-ABT,Blood-Monocytes,0.4219088999,0.06923301616,2143670
chr20,iDNA-ABT,Blood-Monocytes,0.432171923,0.07970994779,736580
chr21,iDNA-ABT,Blood-Monocytes,0.3749910393,0.07168963063,379099
chr22,iDNA-ABT,Blood-Monocytes,0.4209402075,0.08181798455,582068
chr3,iDNA-ABT,Blood-Monocytes,0.4139005027,0.06732955327,1628198
chr4,iDNA-ABT,Blood-Monocytes,0.391226271,0.06317826335,1459705
chr5,iDNA-ABT,Blood-Monocytes,0.4068011533,0.06919647947,1481674
chr6,iDNA-ABT,Blood-Monocytes,0.4010360037,0.07503603667,1476337
chr7,iDNA-ABT,Blood-Monocytes,0.4061976291,0.06982287603,1546052
chr8,iDNA-ABT,Blood-Monocytes,0.4111265672,0.0673548593,1282671
chr9,iDNA-ABT,Blood-Monocytes,0.430293336,0.07581625742,1178404
chrX,iDNA-ABT,Blood-Monocytes,0.2554628543,0.05173203063,1136132
chr1,iDNA-ABT,Blood-NK,0.4703299223,0.07120524349,2265447
chr10,iDNA-ABT,Blood-NK,0.4599280713,0.06400372062,1345411
chr11,iDNA-ABT,Blood-NK,0.4447898745,0.07215119302,1288750
chr12,iDNA-ABT,Blood-NK,0.4444149438,0.06823923675,1277687
chr13,iDNA-ABT,Blood-NK,0.4256522571,0.05692374195,802212
chr14,iDNA-ABT,Blood-NK,0.4511784758,0.06921272622,851799
chr15,iDNA-ABT,Blood-NK,0.4832075435,0.06838382624,847121
chr16,iDNA-ABT,Blood-NK,0.4471199286,0.07127042116,1077112
chr17,iDNA-ABT,Blood-NK,0.4849752713,0.08168486596,1163399
chr18,iDNA-ABT,Blood-NK,0.4469083814,0.05665369685,685139
chr19,iDNA-ABT,Blood-NK,0.4251024664,0.09688792607,1042593
chr2,iDNA-ABT,Blood-NK,0.4590203692,0.06162973714,2147375
chr20,iDNA-ABT,Blood-NK,0.4682294967,0.07036074439,737955
chr21,iDNA-ABT,Blood-NK,0.4014717868,0.06451210337,380029
chr22,iDNA-ABT,Blood-NK,0.4556338907,0.07266987409,583672
chr3,iDNA-ABT,Blood-NK,0.4557998805,0.05937344801,1630305
chr4,iDNA-ABT,Blood-NK,0.4256038966,0.05715311453,1461484
chr5,iDNA-ABT,Blood-NK,0.4418497802,0.06205979796,1483790
chr6,iDNA-ABT,Blood-NK,0.4362936321,0.06751087304,1477898
chr7,iDNA-ABT,Blood-NK,0.4376828619,0.06262764407,1549710
chr8,iDNA-ABT,Blood-NK,0.445927531,0.05997748317,1284535
chr9,iDNA-ABT,Blood-NK,0.4650195058,0.06706733705,1182686
chrX,iDNA-ABT,Blood-NK,0.2928569523,0.04937398049,1137353
chr1,iDNA-ABT,Blood-T-CD3,0.4352851416,0.07253013163,2265142
chr10,iDNA-ABT,Blood-T-CD3,0.4161719818,0.06598728539,1345436
chr11,iDNA-ABT,Blood-T-CD3,0.395044511,0.07448754088,1288618
chr12,iDNA-ABT,Blood-T-CD3,0.4035869519,0.07007771213,1277840
chr13,iDNA-ABT,Blood-T-CD3,0.3629548423,0.06175571944,802098
chr14,iDNA-ABT,Blood-T-CD3,0.4065934752,0.07187937589,851542
chr15,iDNA-ABT,Blood-T-CD3,0.4457594432,0.0695627375,847066
chr16,iDNA-ABT,Blood-T-CD3,0.4037556322,0.07252725801,1076964
chr17,iDNA-ABT,Blood-T-CD3,0.4618771513,0.08012920265,1163038
chr18,iDNA-ABT,Blood-T-CD3,0.3797294753,0.06148689544,685188
chr19,iDNA-ABT,Blood-T-CD3,0.401954612,0.09255333448,1042140
chr2,iDNA-ABT,Blood-T-CD3,0.4106580009,0.06479810508,2147304
chr20,iDNA-ABT,Blood-T-CD3,0.4222391368,0.07130254482,737660
chr21,iDNA-ABT,Blood-T-CD3,0.3404623179,0.06654950574,379975
chr22,iDNA-ABT,Blood-T-CD3,0.4201199275,0.07220260586,583508
chr3,iDNA-ABT,Blood-T-CD3,0.4085066481,0.06312372298,1630351
chr4,iDNA-ABT,Blood-T-CD3,0.3617886004,0.06233892535,1461479
chr5,iDNA-ABT,Blood-T-CD3,0.3872610479,0.06572986533,1483819
chr6,iDNA-ABT,Blood-T-CD3,0.3945903113,0.06965366649,1477859
chr7,iDNA-ABT,Blood-T-CD3,0.3865883537,0.06531901858,1549643
chr8,iDNA-ABT,Blood-T-CD3,0.3892248732,0.06395947022,1284381
chr9,iDNA-ABT,Blood-T-CD3,0.4167904155,0.06917757149,1182515
chrX,iDNA-ABT,Blood-T-CD3,0.1952828016,0.05434210829,1137426
chr1,iDNA-ABT,Bone-Osteoblasts,0.5237888534,0.07392267046,2264582
chr10,iDNA-ABT,Bone-Osteoblasts,0.4912874352,0.07243228192,1344426
chr11,iDNA-ABT,Bone-Osteoblasts,0.4889380663,0.07663028495,1290628
chr12,iDNA-ABT,Bone-Osteoblasts,0.4868595803,0.07429452242,1279324
chr13,iDNA-ABT,Bone-Osteoblasts,0.4614403498,0.07182900216,802125
chr14,iDNA-ABT,Bone-Osteoblasts,0.5079186798,0.07445184722,852150
chr15,iDNA-ABT,Bone-Osteoblasts,0.5199359219,0.07312510152,847243
chr16,iDNA-ABT,Bone-Osteoblasts,0.4789324005,0.07715750536,1077128
chr17,iDNA-ABT,Bone-Osteoblasts,0.5394377307,0.07783064366,1164323
chr18,iDNA-ABT,Bone-Osteoblasts,0.4449791681,0.07163835275,684911
chr19,iDNA-ABT,Bone-Osteoblasts,0.4878459248,0.08808578964,1042426
chr2,iDNA-ABT,Bone-Osteoblasts,0.4867844949,0.0705539394,2147504
chr20,iDNA-ABT,Bone-Osteoblasts,0.5008562147,0.07518853495,738703
chr21,iDNA-ABT,Bone-Osteoblasts,0.4290068517,0.07621530365,380008
chr22,iDNA-ABT,Bone-Osteoblasts,0.4994576892,0.07548413872,583435
chr3,iDNA-ABT,Bone-Osteoblasts,0.5057276128,0.06891422219,1629852
chr4,iDNA-ABT,Bone-Osteoblasts,0.4762730737,0.06959352381,1460707
chr5,iDNA-ABT,Bone-Osteoblasts,0.493950793,0.07096478308,1483645
chr6,iDNA-ABT,Bone-Osteoblasts,0.4892646392,0.07331133316,1475708
chr7,iDNA-ABT,Bone-Osteoblasts,0.473650442,0.07239875546,1547528
chr8,iDNA-ABT,Bone-Osteoblasts,0.480494089,0.07137548371,1284764
chr9,iDNA-ABT,Bone-Osteoblasts,0.4927804101,0.07414475664,1184485
chrX,iDNA-ABT,Bone-Osteoblasts,0.4380984593,0.06486219632,1137299
chr1,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.5166633436,0.0531876095,2264264
chr10,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4967774439,0.04761620645,1346625
chr11,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.485229743,0.05384027094,1290060
chr12,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4879403423,0.05178099414,1281301
chr13,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4878770634,0.04303188627,802342
chr14,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.5148621879,0.05124652303,852521
chr15,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.5214692994,0.05185681704,847714
chr16,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4767543569,0.05575501482,1078569
chr17,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.5233586168,0.06031678473,1164254
chr18,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4619715127,0.04530306685,682122
chr19,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4599689754,0.07071211714,1043514
chr2,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4960934517,0.04680249742,2149307
chr20,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.5000591331,0.05296369548,739401
chr21,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4671142982,0.04932667495,381329
chr22,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4920256524,0.05661893137,584700
chr3,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.5152295272,0.0456009078,1630900
chr4,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4909917666,0.04384200545,1461191
chr5,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.5061960956,0.04649530695,1484300
chr6,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4954949512,0.04929754307,1478512
chr7,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.477426562,0.04865138054,1550620
chr8,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4928543602,0.04571671962,1285288
chr9,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4905492356,0.0517807898,1187187
chrX,iDNA-ABT,Bone_marrow-Erythrocyte_progenitors,0.4831757103,0.04780968503,1136187
chr1,iDNA-ABT,Breast-Basal-Epithelial,0.4602024777,0.08027060631,2264287
chr10,iDNA-ABT,Breast-Basal-Epithelial,0.4431641856,0.07307776889,1345327
chr11,iDNA-ABT,Breast-Basal-Epithelial,0.4328710456,0.08237435086,1289334
chr12,iDNA-ABT,Breast-Basal-Epithelial,0.4340431811,0.076709158,1278798
chr13,iDNA-ABT,Breast-Basal-Epithelial,0.4028299811,0.06658433074,801972
chr14,iDNA-ABT,Breast-Basal-Epithelial,0.4443486187,0.07732655577,851546
chr15,iDNA-ABT,Breast-Basal-Epithelial,0.4668865881,0.07571193426,846247
chr16,iDNA-ABT,Breast-Basal-Epithelial,0.4386178997,0.08366071098,1076361
chr17,iDNA-ABT,Breast-Basal-Epithelial,0.4741337987,0.08980522207,1162939
chr18,iDNA-ABT,Breast-Basal-Epithelial,0.4125126272,0.06866487399,685891
chr19,iDNA-ABT,Breast-Basal-Epithelial,0.434144432,0.1054232879,1042087
chr2,iDNA-ABT,Breast-Basal-Epithelial,0.4393489045,0.07024790355,2146543
chr20,iDNA-ABT,Breast-Basal-Epithelial,0.4525528133,0.08110512981,736989
chr21,iDNA-ABT,Breast-Basal-Epithelial,0.3864947699,0.07913691598,380441
chr22,iDNA-ABT,Breast-Basal-Epithelial,0.4317462252,0.08810399317,583149
chr3,iDNA-ABT,Breast-Basal-Epithelial,0.4387688722,0.06883683788,1627740
chr4,iDNA-ABT,Breast-Basal-Epithelial,0.4087008124,0.06674557766,1459043
chr5,iDNA-ABT,Breast-Basal-Epithelial,0.4229700431,0.07102004497,1483729
chr6,iDNA-ABT,Breast-Basal-Epithelial,0.4226675865,0.07437050041,1477374
chr7,iDNA-ABT,Breast-Basal-Epithelial,0.4210682832,0.07384665995,1548569
chr8,iDNA-ABT,Breast-Basal-Epithelial,0.423728916,0.07134933607,1283187
chr9,iDNA-ABT,Breast-Basal-Epithelial,0.4532287462,0.07679761129,1182000
chrX,iDNA-ABT,Breast-Basal-Epithelial,0.2704428,0.05849620099,1136938
chr1,iDNA-ABT,Breast-Luminal-Epithelial,0.5196341074,0.07289002077,2264221
chr10,iDNA-ABT,Breast-Luminal-Epithelial,0.4908191724,0.06854545695,1346124
chr11,iDNA-ABT,Breast-Luminal-Epithelial,0.488704819,0.07502211505,1288029
chr12,iDNA-ABT,Breast-Luminal-Epithelial,0.4852386038,0.07090740764,1279696
chr13,iDNA-ABT,Breast-Luminal-Epithelial,0.4572712168,0.06293200824,802269
chr14,iDNA-ABT,Breast-Luminal-Epithelial,0.5077399154,0.07071888665,851827
chr15,iDNA-ABT,Breast-Luminal-Epithelial,0.5230770209,0.06991049259,846437
chr16,iDNA-ABT,Breast-Luminal-Epithelial,0.4894575258,0.07609446598,1077137
chr17,iDNA-ABT,Breast-Luminal-Epithelial,0.5322309369,0.08072773322,1163850
chr18,iDNA-ABT,Breast-Luminal-Epithelial,0.4404117366,0.06690043431,685986
chr19,iDNA-ABT,Breast-Luminal-Epithelial,0.5008415875,0.09287218503,1042995
chr2,iDNA-ABT,Breast-Luminal-Epithelial,0.4872190713,0.06622265213,2147554
chr20,iDNA-ABT,Breast-Luminal-Epithelial,0.4984279725,0.07505789083,739192
chr21,iDNA-ABT,Breast-Luminal-Epithelial,0.4423032019,0.07234202963,380390
chr22,iDNA-ABT,Breast-Luminal-Epithelial,0.4880405905,0.07949112458,584608
chr3,iDNA-ABT,Breast-Luminal-Epithelial,0.4948276506,0.06377683235,1629770
chr4,iDNA-ABT,Breast-Luminal-Epithelial,0.4662435978,0.06293739494,1460701
chr5,iDNA-ABT,Breast-Luminal-Epithelial,0.4870202197,0.0649089912,1483675
chr6,iDNA-ABT,Breast-Luminal-Epithelial,0.4843846562,0.06913072201,1476236
chr7,iDNA-ABT,Breast-Luminal-Epithelial,0.476639201,0.06817872192,1548258
chr8,iDNA-ABT,Breast-Luminal-Epithelial,0.4765107385,0.06641813354,1284697
chr9,iDNA-ABT,Breast-Luminal-Epithelial,0.5005333593,0.07131994076,1185153
chrX,iDNA-ABT,Breast-Luminal-Epithelial,0.3954303595,0.04734414739,1137581
chr1,iDNA-ABT,Colon-Fibroblasts,0.4233931897,0.07294619953,2263073
chr10,iDNA-ABT,Colon-Fibroblasts,0.408544201,0.06554954244,1345364
chr11,iDNA-ABT,Colon-Fibroblasts,0.396620198,0.07343445441,1288423
chr12,iDNA-ABT,Colon-Fibroblasts,0.3932834682,0.07038276951,1279419
chr13,iDNA-ABT,Colon-Fibroblasts,0.3620809648,0.06049313825,802252
chr14,iDNA-ABT,Colon-Fibroblasts,0.3985852349,0.07032187592,852219
chr15,iDNA-ABT,Colon-Fibroblasts,0.4294938327,0.0692401131,845291
chr16,iDNA-ABT,Colon-Fibroblasts,0.404651822,0.07222373519,1077123
chr17,iDNA-ABT,Colon-Fibroblasts,0.4468409255,0.08063802469,1163415
chr18,iDNA-ABT,Colon-Fibroblasts,0.3858061855,0.05941744378,685650
chr19,iDNA-ABT,Colon-Fibroblasts,0.3917359845,0.09432433583,1042664
chr2,iDNA-ABT,Colon-Fibroblasts,0.4052659593,0.06318848304,2149022
chr20,iDNA-ABT,Colon-Fibroblasts,0.4153084245,0.07276537847,738006
chr21,iDNA-ABT,Colon-Fibroblasts,0.3623504301,0.06687718233,380032
chr22,iDNA-ABT,Colon-Fibroblasts,0.4168992272,0.07324860666,584192
chr3,iDNA-ABT,Colon-Fibroblasts,0.4004870168,0.06231465845,1627961
chr4,iDNA-ABT,Colon-Fibroblasts,0.3656584307,0.06055623985,1460066
chr5,iDNA-ABT,Colon-Fibroblasts,0.3817084599,0.06453846531,1482836
chr6,iDNA-ABT,Colon-Fibroblasts,0.3851756741,0.06856523766,1476257
chr7,iDNA-ABT,Colon-Fibroblasts,0.3856577683,0.06505024676,1547549
chr8,iDNA-ABT,Colon-Fibroblasts,0.3908301426,0.06295681344,1285015
chr9,iDNA-ABT,Colon-Fibroblasts,0.4146821156,0.06938585972,1185867
chrX,iDNA-ABT,Colon-Fibroblasts,0.3415910245,0.06318952442,1134913
chr1,iDNA-ABT,Colon-Right-Epithelial,0.4895023693,0.08258577741,2262669
chr10,iDNA-ABT,Colon-Right-Epithelial,0.4683200006,0.07504621553,1345062
chr11,iDNA-ABT,Colon-Right-Epithelial,0.462196641,0.08438479516,1287273
chr12,iDNA-ABT,Colon-Right-Epithelial,0.4566637006,0.0790682072,1279369
chr13,iDNA-ABT,Colon-Right-Epithelial,0.4361283105,0.07090437803,801784
chr14,iDNA-ABT,Colon-Right-Epithelial,0.4786606307,0.0794600639,851213
chr15,iDNA-ABT,Colon-Right-Epithelial,0.4938698482,0.0780400554,845589
chr16,iDNA-ABT,Colon-Right-Epithelial,0.4641610859,0.08375360492,1076558
chr17,iDNA-ABT,Colon-Right-Epithelial,0.4972510626,0.0920694237,1160226
